GEOID10,Requests,SVI_Index
25025000100.0,4286,
25025000201.0,2934,
25025000202.0,3056,
25025000301.0,2279,
25025000302.0,2235,
25025000401.0,3656,4
25025000402.0,3371,
25025000502.0,2073,1
25025000503.0,1019,
25025000504.0,2828,3
25025000601.0,3342,
25025000602.0,2042,
25025000701.0,1701,
25025000703.0,1470,
25025000704.0,1840,
25025000802.0,5100,4
25025000803.0,625,1
25025010103.0,541,
25025010104.0,2978,
25025010203.0,2851,1
25025010204.0,1501,
25025010300.0,1015,
25025010403.0,2162,
25025010404.0,1952,3
25025010405.0,1642,
25025010408.0,450,
25025010500.0,3407,
25025010600.0,3408,
25025010701.0,4311,
25025010702.0,4899,
25025010801.0,1934,
25025010802.0,3469,
25025020101.0,6750,
25025020200.0,6569,
25025020301.0,1064,
25025020302.0,1998,
25025020303.0,2251,
25025030100.0,3756,
25025030200.0,3400,
25025030300.0,9408,2
25025030400.0,5728,
25025030500.0,2835,
25025040100.0,2775,
25025040200.0,1392,
25025040300.0,5340,
25025040401.0,4376,
25025040600.0,6164,
25025040801.0,2392,
25025050101.0,3753,4
25025050200.0,3590,1
25025050300.0,4112,
25025050400.0,2903,
25025050500.0,1828,
25025050600.0,2331,
25025050700.0,4019,
25025050901.0,3986,
25025051000.0,3793,2
25025051101.0,6262,4
25025051200.0,3833,
25025060101.0,6371,
25025060200.0,3574,
25025060301.0,5628,
25025060400.0,8147,1
25025060501.0,8391,
25025060600.0,4327,
25025060700.0,758,
25025060800.0,7221,
25025061000.0,2644,1
25025061101.0,1119,
25025061200.0,8078,
25025070101.0,7688,2
25025070200.0,4658,1
25025070300.0,9848,
25025070402.0,1790,
25025070500.0,9452,
25025070600.0,4146,
25025070700.0,3861,
25025070800.0,6152,
25025070900.0,5880,
25025071101.0,8809,
25025071201.0,3504,1
25025080100.0,7955,
25025080300.0,2159,
25025080401.0,3152,
25025080500.0,1721,1
25025080601.0,2019,
25025080801.0,1110,
25025080900.0,2713,
25025081001.0,3092,3
25025081100.0,2874,
25025081200.0,2082,2
25025081300.0,3066,6
25025081400.0,4523,
25025081500.0,2195,
25025081700.0,3265,1
25025081800.0,3349,
25025081900.0,2648,
25025082000.0,2531,
25025082100.0,2633,5
25025090100.0,3808,3
25025090200.0,1622,
25025090300.0,3029,
25025090400.0,3102,
25025090600.0,2459,
25025090700.0,7752,
25025090901.0,328,2
25025091001.0,4509,
25025091100.0,5207,
25025091200.0,4806,
25025091300.0,2149,
25025091400.0,1950,
25025091500.0,3711,2
25025091600.0,3123,1
25025091700.0,2517,
25025091800.0,2456,
25025091900.0,3675,1
25025092000.0,3941,3
25025092101.0,5965,6
25025092200.0,3721,
25025092300.0,2876,
25025092400.0,3817,5
25025100100.0,3613,5
25025100200.0,2117,
25025100300.0,2929,
25025100400.0,3669,1
25025100500.0,7258,3
25025100601.0,4940,
25025100603.0,2394,
25025100700.0,4658,1
25025100800.0,5146,4
25025100900.0,4138,
25025101001.0,5065,4
25025101002.0,3062,3
25025101101.0,2212,
25025101102.0,3005,5
25025110103.0,4845,1
25025110201.0,1758,0
25025110301.0,2521,
25025110401.0,2855,
25025110403.0,2965,0
25025110501.0,2310,
25025110502.0,3647,
25025110601.0,2130,1
25025110607.0,4842,2
25025120103.0,1432,
25025120104.0,1788,
25025120105.0,1987,
25025120201.0,3374,
25025120301.0,4099,
25025120400.0,6204,1
25025120500.0,1771,
25025120600.0,2016,
25025120700.0,1646,
25025130100.0,4071,2
25025130200.0,3881,1
25025130300.0,4000,
25025130402.0,3882,1
25025130404.0,2014,
25025130406.0,1661,2
25025140102.0,4160,
25025140105.0,3463,
25025140106.0,520,
25025140107.0,2334,
25025140201.0,2018,
25025140202.0,4623,3
25025140300.0,5693,4
25025140400.0,5993,5
25025980101.0,3,
25025980300.0,1115,
25025980700.0,347,
25025981000.0,368,
25025981100.0,636,
25025981201.0,1111,
25025981202.0,534,
25025981300.0,346,
25025981501.0,578,
25025981502.0,51,
25025981600.0,24,
25025981700.0,1232,
25025981800.0,1175,
